name,title,male,culture,date_of_birth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,mother_is_alive,father_is_alive,heir_is_alive,spouse_is_alive,married,nobility,age,number_of_dead_relations,child_of
Viserys II Targaryen,,1,,,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,11,
Walder Frey,Lord of the Crossing,1,Rivermen,208.0,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1.0,1,1,97.0,1,
Addison Hill,Ser,1,,,,,,House Swyft,,0,0,0,1,0,,,,,0,1,,0,
Aemma Arryn,Queen,0,,82.0,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0.0,1,1,23.0,0,
Sylva Santagar,Greenstone,0,Dornish,276.0,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1.0,1,1,29.0,0,
Tommen Baratheon,,1,,,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,House Baratheon/Lannister,Margaery Tyrell,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,Jaime Lannister
Valarr Targaryen,Hand of the King,1,Valyrian,183.0,,,,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1.0,1,1,26.0,0,
Viserys I Targaryen,,1,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,
Wilbert,Ser,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,
Wilbert Osgrey,Ser,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,
Will,,1,,,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,
Will (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Will (squire),,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Will (Standfast),,0,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Will (Treb),,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Will Humble,,1,Ironborn,,,,,House Humble,,0,0,0,1,0,,,,,0,0,,0,
